Track 237: r_c =3, RMSE: 8.16, r_c=10 RMSE: 4.29
Track 238: r_c =3, RMSE: 82.59, r_c=10 RMSE: 82.12
Track 239: r_c =3, RMSE: 17.90, r_c=10 RMSE: 16.98
Track 240: r_c =3, RMSE: 4.24, r_c=10 RMSE: 11.44
Track 241: r_c =3, RMSE: 5.10, r_c=10 RMSE: 6.03
Track 242: r_c =3, RMSE: 1.28, r_c=10 RMSE: 5.15
Track 243: r_c =3, RMSE: 11.33, r_c=10 RMSE: 11.74
Track 244: r_c =3, RMSE: 8.33, r_c=10 RMSE: 8.05
Track 245: r_c =3, RMSE: 13.20, r_c=10 RMSE: 2.12
Track 246: r_c =3, RMSE: 3.69, r_c=10 RMSE: 3.76
Track 247: r_c =3, RMSE: 2.46, r_c=10 RMSE: 2.58
Track 249: r_c =3, RMSE: 64.66, r_c=10 RMSE: 65.11
Track 250: r_c =3, RMSE: 30.85, r_c=10 RMSE: 11.81
Track 252: r_c =3, RMSE: 22.57, r_c=10 RMSE: 3.76
Track 253: r_c =3, RMSE: 54.33, r_c=10 RMSE: 54.96
Track 254: r_c =3, RMSE: 56.93, r_c=10 RMSE: 56.64
Track 255: r_c =3, RMSE: 58.14, r_c=10 RMSE: 60.99
Track 256: r_c =3, RMSE: 15.61, r_c=10 RMSE: 15.33
Track 257: r_c =3, RMSE: 63.95, r_c=10 RMSE: 68.49
Track 258: r_c =3, RMSE: 6.26, r_c=10 RMSE: 72.10
Track 259: r_c =3, RMSE: 4.11, r_c=10 RMSE: 2.18
Track 261: r_c =3, RMSE: 4.25, r_c=10 RMSE: 3.20
Track 262: r_c =3, RMSE: 2.04, r_c=10 RMSE: 2.05
Track 263: r_c =3, RMSE: 12.66, r_c=10 RMSE: 6.34
Track 264: r_c =3, RMSE: 7.82, r_c=10 RMSE: 7.72
Track 265: r_c =3, RMSE: 5.40, r_c=10 RMSE: 5.63
Track 266: r_c =3, RMSE: 3.45, r_c=10 RMSE: 2.34
Track 267: r_c =3, RMSE: 15.71, r_c=10 RMSE: 15.29
Track 268: r_c =3, RMSE: 4.27, r_c=10 RMSE: 3.35
Track 269: r_c =3, RMSE: 13.36, r_c=10 RMSE: 23.42
Track 270: r_c =3, RMSE: 58.27, r_c=10 RMSE: 58.34
Track 271: r_c =3, RMSE: 79.92, r_c=10 RMSE: 79.94
Track 272: r_c =3, RMSE: 58.58, r_c=10 RMSE: 23.43
Track 273: r_c =3, RMSE: 8.12, r_c=10 RMSE: 4.73
Track 274: r_c =3, RMSE: 19.75, r_c=10 RMSE: 22.00
Track 275: r_c =3, RMSE: 5.61, r_c=10 RMSE: 4.79
Track 276: r_c =3, RMSE: 3.32, r_c=10 RMSE: 3.46
Track 277: r_c =3, RMSE: 1.54, r_c=10 RMSE: 1.83
Track 278: r_c =3, RMSE: 43.99, r_c=10 RMSE: 70.91
Track 279: r_c =3, RMSE: 19.87, r_c=10 RMSE: 8.71
Track 281: r_c =3, RMSE: 2.23, r_c=10 RMSE: 2.64
Track 282: r_c =3, RMSE: 1.51, r_c=10 RMSE: 1.54
Track 284: r_c =3, RMSE: 24.15, r_c=10 RMSE: 66.24
Track 286: r_c =3, RMSE: 97.28, r_c=10 RMSE: 99.65
Track 287: r_c =3, RMSE: 6.89, r_c=10 RMSE: 7.47
Track 288: r_c =3, RMSE: 67.33, r_c=10 RMSE: 72.59
Track 291: r_c =3, RMSE: 51.94, r_c=10 RMSE: 72.30
Track 292: r_c =3, RMSE: 82.48, r_c=10 RMSE: 86.68
Track 293: r_c =3, RMSE: 19.15, r_c=10 RMSE: 20.77
Track 294: r_c =3, RMSE: 1.32, r_c=10 RMSE: 1.65
Track 295: r_c =3, RMSE: 39.48, r_c=10 RMSE: 64.95
Track 296: r_c =3, RMSE: 70.15, r_c=10 RMSE: 36.97
Track 297: r_c =3, RMSE: 2.34, r_c=10 RMSE: 0.63
Track 298: r_c =3, RMSE: 27.75, r_c=10 RMSE: 43.32
Track 299: r_c =3, RMSE: 19.82, r_c=10 RMSE: 19.71
Track 300: r_c =3, RMSE: 9.03, r_c=10 RMSE: 10.01
Track 301: r_c =3, RMSE: 74.61, r_c=10 RMSE: 73.59
Track 302: r_c =3, RMSE: 8.05, r_c=10 RMSE: 10.24
Track 303: r_c =3, RMSE: 70.57, r_c=10 RMSE: 70.93
Track 304: r_c =3, RMSE: 69.50, r_c=10 RMSE: 5.47
Track 305: r_c =3, RMSE: 11.48, r_c=10 RMSE: 11.00
Track 306: r_c =3, RMSE: 3.81, r_c=10 RMSE: 2.61
Track 307: r_c =3, RMSE: 1.81, r_c=10 RMSE: 2.80
Track 308: r_c =3, RMSE: 2.83, r_c=10 RMSE: 3.51
Track 309: r_c =3, RMSE: 2.70, r_c=10 RMSE: 2.49
Track 310: r_c =3, RMSE: 16.90, r_c=10 RMSE: 18.47
Track 311: r_c =3, RMSE: 6.63, r_c=10 RMSE: 6.78
Track 313: r_c =3, RMSE: 2.74, r_c=10 RMSE: 3.56
Track 315: r_c =3, RMSE: 57.91, r_c=10 RMSE: 61.44
Track 316: r_c =3, RMSE: 19.02, r_c=10 RMSE: 19.67
Track 318: r_c =3, RMSE: 18.50, r_c=10 RMSE: 18.71
Track 319: r_c =3, RMSE: 4.98, r_c=10 RMSE: 3.12
Track 320: r_c =3, RMSE: 1.92, r_c=10 RMSE: 1.02
Track 321: r_c =3, RMSE: 4.00, r_c=10 RMSE: 3.74
Track 322: r_c =3, RMSE: 3.99, r_c=10 RMSE: 3.57
Track 324: r_c =3, RMSE: 12.48, r_c=10 RMSE: 11.66
Track 325: r_c =3, RMSE: 7.44, r_c=10 RMSE: 19.85
Track 326: r_c =3, RMSE: 6.15, r_c=10 RMSE: 41.39
Track 327: r_c =3, RMSE: 6.69, r_c=10 RMSE: 4.63
Track 328: r_c =3, RMSE: 3.61, r_c=10 RMSE: 3.67
Track 329: r_c =3, RMSE: 35.82, r_c=10 RMSE: 7.52
Track 331: r_c =3, RMSE: 6.21, r_c=10 RMSE: 4.33
Track 332: r_c =3, RMSE: 0.55, r_c=10 RMSE: 5.30
Track 333: r_c =3, RMSE: 3.43, r_c=10 RMSE: 2.17
Track 334: r_c =3, RMSE: 29.43, r_c=10 RMSE: 21.94
Track 335: r_c =3, RMSE: 25.32, r_c=10 RMSE: 21.64
Track 336: r_c =3, RMSE: 7.80, r_c=10 RMSE: 7.77
Track 337: r_c =3, RMSE: 9.03, r_c=10 RMSE: 10.16
Track 338: r_c =3, RMSE: 3.64, r_c=10 RMSE: 3.97
Track 339: r_c =3, RMSE: 50.52, r_c=10 RMSE: 4.72
Track 340: r_c =3, RMSE: 6.84, r_c=10 RMSE: 6.72
Track 341: r_c =3, RMSE: 7.22, r_c=10 RMSE: 7.10
Track 342: r_c =3, RMSE: 27.43, r_c=10 RMSE: 28.64
Track 343: r_c =3, RMSE: 2.98, r_c=10 RMSE: 2.09
